Description and Tags,Video ID,Likes,Comments,Shares,Views,Video Path,Keyword
#DIY #craft #handmade,6,,,,,videos\DIY\6-DIY.mp4,DIY
Very useful diy idea😉#foryou #DIY #idea #tipsforgirls #LearnOnTikTok #trick #useful #try #wow #funny,5,580300,661,10700,14300000,videos\DIY\5-DIY.mp4,DIY
#DIY #handmade #tutorial #viral,2,315200,518,28300,8500000,videos\DIY\2-DIY.mp4,DIY
#DIY #handmade #tutorials #viral,3,74400,172,11200,2900000,videos\DIY\3-DIY.mp4,DIY
Diy gift ideas part 5 .·:*¨༺,0,623900,1115,37000,8400000,videos\DIY\0-DIY.mp4,DIY
Incorporating essential oils in your lives is a big game changer 😌 #fypシ #foryoupage #essentialoils,0,935,15,28,47500,videos\Lavender Essential Oil\0-Lavender Essential Oil.mp4,Lavender Essential Oil
Lavender cupcake smells too good,5,434,3,0,35200,videos\Lavender Essential Oil\5-Lavender Essential Oil.mp4,Lavender Essential Oil
How to make lavender oil. #GetYourJeansOn #HPRadicalReuse  #lavender #essentialoils #lavenderoil #fa,2,1059,8,34,32900,videos\Lavender Essential Oil\2-Lavender Essential Oil.mp4,Lavender Essential Oil
Como usar los aceites de forma correcta #beoils #youngliving #aceitesesenciales #nontoxicliving #lav,4,85,1,13,4476,videos\Lavender Essential Oil\4-Lavender Essential Oil.mp4,Lavender Essential Oil
🪻✨️💜 Está lo máximo este difusor de air wick!!! #difusor #airwick #lavanda #lavender #diffuser #esse,6,85,5,7,6301,videos\Lavender Essential Oil\6-Lavender Essential Oil.mp4,Lavender Essential Oil
Does aromatherapy help you to sleep? #lavenderessentialoil #healthbenefits #aromatherapy #sleepspray,3,3424,22,17,165600,videos\Lavender Essential Oil\3-Lavender Essential Oil.mp4,Lavender Essential Oil
💜 LAVENDER OIL EXTRACT 💜 PART ONE of two!  you will need:  •dried lavender stems  •morter and pestle,1,687,27,35,32500,videos\Lavender Essential Oil\1-Lavender Essential Oil.mp4,Lavender Essential Oil
Just because something is natural does not mean it’s good for you! #estrogendominance #lavender #tea,9,243,26,23,26700,videos\Lavender Essential Oil\9-Lavender Essential Oil.mp4,Lavender Essential Oil
Lavender Essential Oil Benefits #tiktokpartner #LearnOnTikTok #essentialoils #followme #fyp #fy #for,8,178,0,9,11700,videos\Lavender Essential Oil\8-Lavender Essential Oil.mp4,Lavender Essential Oil
One of my favorites to throw in the diffuser at night! #essentialoils #lavender #sleepy #eveningrout,10,42,1,1,2674,videos\Lavender Essential Oil\10-Lavender Essential Oil.mp4,Lavender Essential Oil
"Yha gitu emang kalo gak paham, kadang suka ngegas 🙃 #lavender #essentialoils #lavenderessentialoil #",11,236,11,168,25200,videos\Lavender Essential Oil\11-Lavender Essential Oil.mp4,Lavender Essential Oil
I’ve tried it all… this is the best and easiest way! #toddlersoftiktok  #hairelastic #hairtok #hairt,12,826800,2430,8528,41900000,videos\Lavender Essential Oil\12-Lavender Essential Oil.mp4,Lavender Essential Oil
True Lavender oil roll on #gurunandaofficial #gurunanda #essentialoil #rollon #asmr,13,69,7,1,5159,videos\Lavender Essential Oil\13-Lavender Essential Oil.mp4,Lavender Essential Oil
"Lavender essential oil helps to relax, calm and balance both body and mind! #attractive #attraction",7,227,8,3,11100,videos\Lavender Essential Oil\7-Lavender Essential Oil.mp4,Lavender Essential Oil
The best diffuser #essentialoils #diffuser #SelfCare #spa #fyp #foryoupagethis #foryoupage,14,1889,18,39,76700,videos\Lavender Essential Oil\14-Lavender Essential Oil.mp4,Lavender Essential Oil
NEW FROM GUERLAIN AND AVAILABLE IN UK KISSKISS BEE GLOW OIL 92% NATURAL-ORIGIN HONEY TINT LIP OIL Sh,17,11,0,0,770,videos\Lavender Essential Oil\17-Lavender Essential Oil.mp4,Lavender Essential Oil
DIY Linen spray.                                                                       #fypシ #hack #,18,713,16,41,25600,videos\Lavender Essential Oil\18-Lavender Essential Oil.mp4,Lavender Essential Oil
Making lavender oil. Stay tuned to see what we do with this aromatic beauty. #herbalmedicine #infuse,19,172,1,11,3297,videos\Lavender Essential Oil\19-Lavender Essential Oil.mp4,Lavender Essential Oil
#oils #essentialoils #free99 #youngliving #fyp,15,1011,63,25,45300,videos\Lavender Essential Oil\15-Lavender Essential Oil.mp4,Lavender Essential Oil
Rice and lavender essential oils good for your shoulder neck 🍚 👩🏼‍⚕️🙇🏼‍♀️#lifetips #lifehacks #foryo,20,9454,4,97,1400000,videos\Lavender Essential Oil\20-Lavender Essential Oil.mp4,Lavender Essential Oil
Non-Toxic Fabric Refresher 🌿 #nontoxicliving #homemadecleaningproducts #livingtoxinfree #fabricspray,16,1738,29,156,52500,videos\Lavender Essential Oil\16-Lavender Essential Oil.mp4,Lavender Essential Oil
Incorporating essential oils in your lives is a big game changer 😌 #fypシ #foryoupage #essentialoils,24,935,15,28,47500,videos\Lavender Essential Oil\24-Lavender Essential Oil.mp4,Lavender Essential Oil
#lavender #lavenderessentialoil #essentialoils  #familyfarm #lavenderlife #harvest #hydrosol #forsal,22,494,13,22,16400,videos\Lavender Essential Oil\22-Lavender Essential Oil.mp4,Lavender Essential Oil
"Replying to @mattloveshair  breaking elastics with essentials oils?! Lemon, peppermint, or citrus bl",23,38300,99,187,416600,videos\Lavender Essential Oil\23-Lavender Essential Oil.mp4,Lavender Essential Oil
Does aromatherapy help you to sleep? #lavenderessentialoil #healthbenefits #aromatherapy #sleepspray,27,3424,22,17,165600,videos\Lavender Essential Oil\27-Lavender Essential Oil.mp4,Lavender Essential Oil
How to make lavender oil. #GetYourJeansOn #HPRadicalReuse  #lavender #essentialoils #lavenderoil #fa,26,1059,8,34,32900,videos\Lavender Essential Oil\26-Lavender Essential Oil.mp4,Lavender Essential Oil
Lavendar 🧼 for sunburns redness#essentialoilsoap #foryou #purple #fyp,21,1665,14,21,39800,videos\Lavender Essential Oil\21-Lavender Essential Oil.mp4,Lavender Essential Oil
💜 LAVENDER OIL EXTRACT 💜 PART ONE of two!  you will need:  •dried lavender stems  •morter and pestle,25,687,27,35,32500,videos\Lavender Essential Oil\25-Lavender Essential Oil.mp4,Lavender Essential Oil
